eps,sigma
0.01,1.92134831
0.01,2.16292134
0.01,2.40449438
0.01,2.64606741
0.01,2.88764045
0.01,3.12921348
0.01,3.37078652
0.01,3.61235955
0.01,3.85393259
0.01,4.09550562
0.42111111,1.92134831
0.42111111,2.16292134
0.42111111,2.40449438
0.42111111,2.64606741
0.42111111,2.88764045
0.42111111,3.12921348
0.42111111,3.37078652
0.42111111,3.61235955
0.42111111,3.85393259
0.42111111,4.09550562
0.83222222,1.92134831
0.83222222,2.16292134
0.83222222,2.40449438
0.83222222,2.64606741
0.83222222,2.88764045
0.83222222,3.12921348
0.83222222,3.37078652
0.83222222,3.61235955
0.83222222,3.85393259
0.83222222,4.09550562
1.24333333,1.92134831
1.24333333,2.16292134
1.24333333,2.40449438
1.24333333,2.64606741
1.24333333,2.88764045
1.24333333,3.12921348
1.24333333,3.37078652
1.24333333,3.61235955
1.24333333,3.85393259
1.24333333,4.09550562
1.65444444,1.92134831
1.65444444,2.16292134
1.65444444,2.40449438
1.65444444,2.64606741
1.65444444,2.88764045
1.65444444,3.12921348
1.65444444,3.37078652
1.65444444,3.61235955
1.65444444,3.85393259
1.65444444,4.09550562
2.06555556,1.92134831
2.06555556,2.16292134
2.06555556,2.40449438
2.06555556,2.64606741
2.06555556,2.88764045
2.06555556,3.12921348
2.06555556,3.37078652
2.06555556,3.61235955
2.06555556,3.85393259
2.06555556,4.09550562
2.47666667,1.92134831
2.47666667,2.16292134
2.47666667,2.40449438
2.47666667,2.64606741
2.47666667,2.88764045
2.47666667,3.12921348
2.47666667,3.37078652
2.47666667,3.61235955
2.47666667,3.85393259
2.47666667,4.09550562
2.88777778,1.92134831
2.88777778,2.16292134
2.88777778,2.40449438
2.88777778,2.64606741
2.88777778,2.88764045
2.88777778,3.12921348
2.88777778,3.37078652
2.88777778,3.61235955
2.88777778,3.85393259
2.88777778,4.09550562
3.29888889,1.92134831
3.29888889,2.16292134
3.29888889,2.40449438
3.29888889,2.64606741
3.29888889,2.88764045
3.29888889,3.12921348
3.29888889,3.37078652
3.29888889,3.61235955
3.29888889,3.85393259
3.29888889,4.09550562
3.71,1.92134831
3.71,2.16292134
3.71,2.40449438
3.71,2.64606741
3.71,2.88764045
3.71,3.12921348
3.71,3.37078652
3.71,3.61235955
3.71,3.85393259
3.71,4.09550562
